"type","game_id","home_team","away_team","week","season","state_of_game","game_url","home_score","away_score","home_longitude","home_latitude","away_longitude","away_latitude","travel"
"reg","2019093000","PIT","CIN",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019093000/2019093000_gtd.json",NA,NA,-80.01574,40.44673,-84.51623,39.09532,512
"reg","2019100300","SEA","LA",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100300/2019100300_gtd.json",NA,NA,-122.33165,47.59476,-118.2879,34.0141,1922
"reg","2019100600","CAR","JAX",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100600/2019100600_gtd.json",NA,NA,-80.85331,35.22584,-81.6369,30.32387,684
"reg","2019100609","WAS","NE",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100609/2019100609_gtd.json",NA,NA,-76.86444,38.90778,-71.26491,42.09188,734
"reg","2019100608","TEN","BUF",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100608/2019100608_gtd.json",NA,NA,-86.77252,36.16654,-78.78679,42.77379,1246
"reg","2019100607","PIT","BAL",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100607/2019100607_gtd.json",NA,NA,-80.01574,40.44673,-76.6227,39.2779,394
"reg","2019100601","CIN","ARI",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100601/2019100601_gtd.json",NA,NA,-84.51623,39.09532,-112.25876,33.52713,3168
"reg","2019100602","HOU","ATL",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100602/2019100602_gtd.json",NA,NA,-95.41092,29.68493,-84.40121,33.75735,1410
"reg","2019100603","NO","TB",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100603/2019100603_gtd.json",NA,NA,-90.08128,29.95116,-82.50349,27.97884,956
"reg","2019100604","NYG","MIN",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100604/2019100604_gtd.json",NA,NA,-74.0745,40.8135,-93.25848,44.97401,2018
"reg","2019100605","OAK","CHI",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100605/2019100605_gtd.json",NA,NA,-122.1999,37.75233,-87.6167,41.8623,0
"reg","2019100606","PHI","NYJ",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100606/2019100606_gtd.json",NA,NA,-75.16729,39.90147,-74.0745,40.8135,170
"reg","2019100610","LAC","DEN",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100610/2019100610_gtd.json",NA,NA,-118.2611,33.8644,-105.02028,39.74396,1672
"reg","2019100611","DAL","GB",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100611/2019100611_gtd.json",NA,NA,-97.09277,32.74778,-88.06223,44.50117,1890
"reg","2019100612","KC","IND",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100612/2019100612_gtd.json",NA,NA,-94.48388,39.04895,-86.16361,39.76,894
"reg","2019100700","SF","CLE",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100700/2019100700_gtd.json",NA,NA,-122.38673,37.71399,-81.69962,41.50618,4320
"reg","2019101000","NE","NYG",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101000/2019101000_gtd.json",NA,NA,-71.26491,42.09188,-74.0745,40.8135,340
"reg","2019101300","TB","CAR",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101300/2019101300_gtd.json",NA,NA,-82.50349,27.97884,-80.85331,35.22584,0
"reg","2019101305","MIA","WAS",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101305/2019101305_gtd.json",NA,NA,-80.23889,25.95801,-76.86444,38.90778,1830
"reg","2019101306","MIN","PHI",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101306/2019101306_gtd.json",NA,NA,-93.25848,44.97401,-75.16729,39.90147,1968
